id	authority	sources	requirement	screens	coverage
R107	proposal	P01	Preserve event context through retry; recover the same account and booking without silent merge or replacement.	app-recovery-auth,wrongaccount,auth-canceled,alreadyRSVPed,recoveringmatchingbooking,app-rsvp-auth,app-event-auth,installed-event-signedout,clip-recover-auth,browser-recover-auth,postevent-recover	proposal
R108	proposal	P02	Use a 60-second SMS resend delay with editable number and explicit failure states; provider timing still needs validation.	verification-error	proposal
R109	proposal	P03	Cancel with one confirmation, invalidate QR and event-provided exact location, and rebook under current rules.	cancel-confirm,rsvp-canceled	proposal
R110	proposal	P04	Apply approval-mode/duration changes prospectively; notify guests when changing issued offers.	console-registration	proposal
R111	proposal	P05	For event cancellation/rescheduling, show changed state, preserve or invalidate booking as specified, adjust reminders/address windows.	event-rescheduled,event-canceled,rescheduled-cancel,rescheduled-canceled,rescheduled-unreserved	proposal
R112	proposal	P06	Retain failed check-in drafts, make retries idempotent, and offer explicit submission without a failed optional photo.	recap_upload_error	proposal
R113	proposal	P07	Edit public post media/note and private feedback separately; use neutral removed-photo states.	recap_photo_removed	proposal
R114	proposal	P08	Use a stable non-house-centered approximate area and require recorded consent before publication.	home-before,console-home	proposal
R115	proposal	P09	Use event-local time zones and explicit draft/preview/publish operator semantics with failure states.	console-preview,console-live,console-publish,console-publish-failed,console-invite-failed	proposal
R116	proposal	P10	Skip elapsed reminders, keep retries distinct from successful sends, and stop SMS on opt-out without canceling RSVP.	console-messages	proposal
R117	proposal	P11	Active offers hold capacity; pending verification/approval do not. Expired/declined offers return to deliberate reselection.	offerexpired,console-registration	proposal
R118	proposal	P12	Use permitted confirmed-guest photos/count, then names/photos without phone numbers in the full list.	full-guest-list	proposal
R119	proposal	P13	Repair only truly missing required identity and defer general permissions/tour on the event return path.	missingidentity,location-primer,notification-primer,location-denied,account-entry-setup	proposal
R120	proposal	P14	Own-post video, exact social controls, unpublished/unavailable recap behavior, and detailed upload recovery await approval.	after_recap,recap_unpublished,recap-unavailable,past-events,ended-unpublished,recap-comment,recap-comment-posted	proposal
R121	proposal	P15	Staff identity checks, reentry escalation, and offline roster reconciliation require explicit operational design.	stafffindguest,duplicateadmission	proposal
R122	proposal	P16	One-person bookings, no anonymous plus-ones/transfers, and walk-in limits are proposed participation rules.		specified_constraint
R123	proposal	P17	Exact five-tab placement, past-event navigation, and request-state placement are proposed layout details.	events-list,events-discover	proposal
R124	proposal	P18	Code sequencing, retry preservation, and code-change effects are proposed.	enter-code,codeinvalid	proposal
R125	proposal	P19	Event publication fields, validation, draft-link visibility, and preview behavior are proposed.	console-event,console-preview	proposal
R126	proposal	P20	Share/calendar recovery and approximate-home calendar content are proposed; omitting Save is not an approved scope cut.	rsvp-confirmed	proposal
R127	open	M005,D10,D12	Default special-pin schedule and multiple-event precedence require review; seven-day windows are proposals only.	console-map-controls	open
R128	open	T2	Own-video support in the personal check-in is unsettled; shared-gallery photos/videos are approved.	after_composer	open
R129	approved	T1	Show an example of notification value before requesting notification permission; exact contextual trigger remains proposed.	notification-primer	shown
R130	approved	T1	Keep the entry QR with Events; do not add a separate Tickets tab.	events-list,arrival-ticket	shown
R131	approved	M005,T1	The event splash is the event detail itself, not an extra blocking branded screen or general onboarding tour.	event-detail	shown
R132	approved	T2	Shared conversation supports back-and-forth replies and liking; exact control design is proposed.	recap-comment,recap-comment-posted	shown
R133	superseded	T2,D3	Friend/second-degree-only event preview brainstorming was broadened to Astir-wide preview by D3.		superseded
R134	superseded	M005	The spoken one-to-one/reversed places-and-events wording is corrected by the same discussion: each event has one place and a place can have many events.		superseded
R135	derived	M005,ROADMAP	Use the first-event and 30-friend-beta objectives as context; the audit does not change roadmap dates or assume additional founder capacity.		specified_constraint
R136	approved	M005,U-0914-INSTALLED-INVITE	An invite opened with Astir already installed opens the linked event inside the full app; resolve the signed-in account and existing reservation before offering the applicable action.	invite-installed,installed-event-detail,installed-event-signedout,app-event-auth,confirmed-detail	shown
R137	approved	M005,U-0914-EVENTS-DISCOVERY	Discovering and tapping an upcoming event in the new Events tab opens the same in-app event detail as an invite. Tapping a confirmed card opens its confirmed event; Show ticket remains a separate QR shortcut.	events-discover,installed-event-detail,events-list,confirmed-detail	shown
R138	approved	T3	All View event links identify the same event, including invite, confirmation/reminders and shares; forwarded links resolve the recipient independently.	invite,invite-installed,confirmation-text,pre-event-text,two-hour-text,important-change-text,after_text	shown
R139	approved	T3	Show app, App Clip and web side by side across unknown identity, recognized no RSVP and recognized confirmed RSVP; Clip is single-event without app tabs.	event-state-matrix	shown
R140	approved	T3	Unknown identity is distinct from no RSVP; restore the account and fetch its real reservation before a new submission. Persistence/handoff mechanism requires engineering validation.	event-state-matrix,clip-recover-auth,browser-recover-auth,clip-ready-rsvp,browser-ready-rsvp,event-lookup-loading,event-lookup-retry	specified_constraint
R141	approved	U-0914-REVIEW,U-0914-DOWNLOAD-CLARIFICATION	After confirmation offer an optional dismissible download upsell with QR-at-door rationale; guest list and RSVP management still require recognized confirmed RSVP, not download.	rsvp-confirmed,noapp-confirmed-detail,manage-rsvp	shown
R142	approved	T3	Use View or change RSVP on the event; retain before-start cancellation inside management.	confirmed-detail,noapp-confirmed-detail,manage-rsvp	shown
R143	approved	T4	Installed but incomplete account must finish name and username before QR/admission; reuse existing data and keep profile photo optional.	account-entry-setup,missingidentity	shown
R144	approved	T3	Handle deleted-app post-event return: event details remain accessible, while check-in/uploads require reinstall and same-account attendance/completion recovery.	postevent-reinstall,postevent-install,postevent-recover,noapp-ended-preview,noapp-recap-unpublished	shown
R145	approved	T3	Console generates/editable event tag options that populate optional event check-in tags; ten is an example, not a fixed requirement.	console-tags,after_composer	shown
R146	approved	T3	Recap is rich and event-focused using place-profile patterns: cover, familiar comment controls, a clear add-media plus, and upper-right event Share.	after_recap,recap-after-deletion,recap-after-photo-removal	shown
R147	approved	T3,T4	Keep standard map/place interaction: special pin opens collapsed event/place label with smaller at; place events remain inline without giant footer CTA or invented Explore nearby.	map_special_event,map-event-collapsed,map_place_history	shown
R148	approved	T4	During the configured promotion interval show in Featured to permitted viewers, You for attendees, Friends when relevant friends attended; console controls Featured promotion.	console-map-controls,map_special_event	specified_constraint
R149	approved	T4	Explore square, rounded and glow/motion event-pin treatments; do not silently select one final preset.		specified_constraint
R150	approved	T4	Console and simple staff QR scanner are authenticated internal web interfaces; keep event, first-party media, post-event and settings management out of the guest app.	console,staff-scan,staff-guest-search	shown
R151	approved	T4	Generate optional invitation codes with optional capped or uncapped usage, include enabled codes in invitation text, and allow codes to remain off initially.	console-invite-codes,enter-code,invite-with-code	shown
R152	approved	T4	Full guest list prioritizes people the viewer follows and shows truthful permitted mutual-connection counts.	full-guest-list	shown
R153	approved	T3,T4	Create visually accurate Swift front-end mocks in an isolated sandbox and capture actual simulator screenshots; no backend integration or production app changes.		specified_constraint
R154	approved	T4	Create the full starting-state and end-to-end exit acceptance suite for the engineering plan; distinguish planned tests from implemented/passed tests.		specified_constraint
R155	open	T3	The icon color mismatch needs the exact icon identified; do not invent a target or claim the unidentified issue fixed.		open
R156	open	T3,T4	External share payload, second-degree Friends eligibility, tag-generation mechanics and invitation-code redemption semantics need explicit follow-through; broad Featured visibility is selected.		open
